"","citrus.fruit","semi.finished.bread","margarine","ready.soups"
"14275","beef","citrus fruit","root vegetables","other vegetables"
"14276","rolls/buns","sugar","fruit/vegetable juice",""
"14277","grapes","ice cream","pastry","soda"
"14278","canned beer","salty snack","chewing gum","seasonal products"
"14279","flower (seeds)","shopping bags","",""
"14280","frankfurter","meat","beef","citrus fruit"
"14281","berries","root vegetables","packaged fruit/vegetables","whole milk"
"14282","whipped/sour cream","frozen vegetables","rolls/buns","canned fruit"
"14283","house keeping products","flower (seeds)","shopping bags",""
"14284","pork","beef","citrus fruit","pip fruit"
"14285","root vegetables","onions","other vegetables","whole milk"
"14286","butter","ice cream","bottled water","waffles"
"14287","newspapers","shopping bags","",""
"14288","meat","whole milk","cream cheese ","brown bread"
"14289","chocolate","newspapers","",""
"14290","sausage","chicken","citrus fruit","pip fruit"
"14291","root vegetables","other vegetables","whole milk","yogurt"
"14292","whipped/sour cream","domestic eggs","white bread","soda"
"14293","shopping bags","","",""
"14294","root vegetables","whole milk","long life bakery product",""
"14295","sausage","ham","frozen dessert","salty snack"
"14296","canned beer","","",""
"14297","citrus fruit","tropical fruit","grapes","berries"
"14298","other vegetables","whole milk","UHT-milk","bottled water"
"14299","fruit/vegetable juice","","",""
"14300","frankfurter","other vegetables","yogurt","rolls/buns"
"14301","pastry","margarine","sugar","waffles"
"14302","chocolate","chocolate marshmallow","",""
"14303","sausage","other vegetables","whipped/sour cream","processed cheese"
"14304","brown bread","","",""
"14305","pork","root vegetables","other vegetables","whole milk"
"14306","cream cheese ","coffee","bottled water","bottled beer"
"14307","sausage","root vegetables","onions","other vegetables"
"14308","whole milk","butter milk","sliced cheese","curd cheese"
"14309","frozen vegetables","rolls/buns","",""
"14310","citrus fruit","whipped/sour cream","pastry",""
"14311","whole milk","butter","yogurt","whipped/sour cream"
"14312","domestic eggs","coffee","",""
"14313","tropical fruit","pip fruit","root vegetables","other vegetables"
"14314","whole milk","dessert","yogurt","UHT-milk"
"14315","baking powder","canned vegetables","waffles",""
"14316","other vegetables","bottled beer","canned beer",""
"14317","rolls/buns","","",""
"14318","other vegetables","curd","whipped/sour cream","UHT-milk"
"14319","sugar","bottled beer","napkins",""
"14320","sausage","canned beer","salty snack",""
"14321","root vegetables","other vegetables","frozen vegetables","frozen fish"
"14322","rolls/buns","dog food","popcorn","newspapers"
"14323","pastry","","",""
"14324","bottled water","","",""
"14325","other vegetables","whole milk","dessert","sliced cheese"
"14326","hard cheese","cream cheese ","pastry","margarine"
"14327","sugar","ready soups","bottled water","soda"
"14328","salty snack","newspapers","shopping bags",""
"14329","tropical fruit","pip fruit","yogurt","canned vegetables"
"14330","misc. beverages","","",""
"14331","frankfurter","yogurt","frozen fish","ice cream"
"14332","frozen potato products","pastry","margarine","canned fish"
"14333","soda","bottled beer","salty snack","nut snack"
"14334","long life bakery product","specialty bar","candy",""
"14335","pastry","oil","margarine",""
"14336","citrus fruit","domestic eggs","",""
"14337","meat","chicken","pork","pip fruit"
"14338","other vegetables","whole milk","butter milk","frozen vegetables"
"14339","rolls/buns","rice","sugar","coffee"
"14340","photo/film","","",""
"14341","ice cream","sugar","coffee","bottled water"
"14342","soda","fruit/vegetable juice","shopping bags",""
"14343","whole milk","dessert","yogurt","margarine"
"14344","newspapers","","",""
"14345","soda","specialty chocolate","",""
"14346","canned beer","","",""
"14347","roll products ","newspapers","",""
"14348","tropical fruit","other vegetables","whole milk","butter"
"14349","yogurt","soft cheese","domestic eggs","cling film/bags"
"14350","other vegetables","whole milk","yogurt","sliced cheese"
"14351","cereals","bottled water","",""
"14352","other vegetables","zwieback","soda","chewing gum"
"14353","sugar","bottled water","soda","fruit/vegetable juice"
"14354","salty snack","popcorn","",""
"14355","chicken","root vegetables","long life bakery product",""
"14356","chicken","coffee","",""
"14357","meat","chicken","root vegetables","other vegetables"
"14358","whole milk","yogurt","sliced cheese","cream cheese "
"14359","roll products ","oil","margarine","artif. sweetener"
"14360","detergent","shopping bags","",""
"14361","rolls/buns","bottled beer","",""
"14362","root vegetables","other vegetables","whole milk","butter"
"14363","whipped/sour cream","soft cheese","rolls/buns","white bread"
"14364","margarine","cocoa drinks","flower (seeds)",""
"14365","newspapers","","",""
"14366","ham","other vegetables","curd","whipped/sour cream"
"14367","soft cheese","rolls/buns","long life bakery product",""
"14368","sausage","other vegetables","rolls/buns","oil"
"14369","bottled beer","red/blush wine","",""
"14370","specialty cheese","baking powder","waffles","chocolate"
"14371","seasonal products","shopping bags","",""
"14372","newspapers","","",""
"14373","sausage","other vegetables","butter","whipped/sour cream"
"14374","cream","roll products ","oil","white wine"
"14375","flower (seeds)","","",""
"14376","rolls/buns","newspapers","",""
"14377","whole milk","soda","",""
"14378","sausage","meat","rolls/buns","soda"
"14379","fruit/vegetable juice","male cosmetics","shopping bags",""
"14380","ice cream","bottled water","soda",""
"14381","chicken","other vegetables","rolls/buns","margarine"
"14382","soda","misc. beverages","candy",""
"14383","shopping bags","","",""
"14384","bottled water","bottled beer","",""
"14385","root vegetables","sparkling wine","",""
"14386","sausage","meat","chicken","pork"
"14387","other vegetables","sliced cheese","brown bread","newspapers"
"14388","shopping bags","","",""
"14389","chicken","newspapers","",""
"14390","ham","pork","citrus fruit","tropical fruit"
"14391","root vegetables","other vegetables","yogurt","frozen fish"
"14392","fruit/vegetable juice","long life bakery product","female sanitary products",""
"14393","tropical fruit","butter milk","UHT-milk","condensed milk"
"14394","brown bread","sugar","coffee","bottled water"
"14395","soda","fruit/vegetable juice","syrup","bottled beer"
"14396","house keeping products","shopping bags","",""
"14397","rolls/buns","","",""
"14398","other vegetables","","",""
"14399","sausage","ham","pork","beef"
"14400","hamburger meat","tropical fruit","pip fruit","berries"
"14401","other vegetables","curd","dessert","yogurt"
"14402","sliced cheese","spread cheese","semi-finished bread","canned vegetables"
"14403","bottled water","misc. beverages","syrup","waffles"
"14404","chocolate","seasonal products","",""
"14405","berries","waffles","specialty chocolate",""
"14406","frankfurter","rolls/buns","canned beer",""
"14407","yogurt","whipped/sour cream","",""
"14408","bottled water","soda","bottled beer","waffles"
"14409","chocolate","dishes","",""
"14410","bottled water","","",""
"14411","berries","","",""
"14412","pastry","chocolate","specialty bar","candy"
"14413","seasonal products","","",""
"14414","citrus fruit","tropical fruit","pip fruit","root vegetables"
"14415","rolls/buns","","",""
"14416","chicken","root vegetables","other vegetables","whole milk"
"14417","butter","yogurt","specialty cheese","domestic eggs"
"14418","pastry","rice","canned fish","misc. beverages"
"14419","detergent","house keeping products","",""
"14420","sausage","chicken","other vegetables","whole milk"
"14421","yogurt","rolls/buns","soda","hygiene articles"
"14422","napkins","shopping bags","",""
"14423","fruit/vegetable juice","","",""
"14424","beverages","","",""
"14425","UHT-milk","pastry","margarine",""
"14426","turkey","tropical fruit","grapes","other vegetables"
"14427","whole milk","curd","yogurt","processed cheese"
"14428","dog food","pot plants","",""
"14429","white wine","red/blush wine","napkins",""
"14430","other vegetables","whole milk","cream cheese ","frozen meals"
"14431","rolls/buns","brown bread","bottled water","newspapers"
"14432","other vegetables","yogurt","",""
"14433","sausage","organic products","specialty chocolate",""
"14434","liver loaf","rolls/buns","",""
"14435","butter milk","hard cheese","instant coffee",""
"14436","pip fruit","","",""
"14437","rolls/buns","pickled vegetables","specialty bar","dental care"
"14438","frankfurter","whole milk","pastry","potato products"
"14439","frankfurter","root vegetables","other vegetables","hard cheese"
"14440","whole milk","zwieback","soda",""
"14441","frankfurter","whole milk","",""
"14442","dessert","rolls/buns","soda",""
"14443","other vegetables","whole milk","",""
"14444","oil","hygiene articles","",""
"14445","red/blush wine","","",""
"14446","rolls/buns","","",""
"14447","tropical fruit","curd","",""
"14448","root vegetables","","",""
"14449","yogurt","","",""
"14450","sausage","rolls/buns","",""
"14451","whole milk","curd","cream cheese ","cereals"
"14452","cat food","coffee","waffles",""
"14453","ham","pip fruit","root vegetables","other vegetables"
"14454","yogurt","rolls/buns","baking powder",""
"14455","domestic eggs","rolls/buns","margarine",""
"14456","tropical fruit","other vegetables","soda",""
"14457","root vegetables","butter milk","cream cheese ","spread cheese"
"14458","chicken","tropical fruit","pip fruit","other vegetables"
"14459","packaged fruit/vegetables","domestic eggs","rolls/buns","flour"
"14460","pasta","dog food","bottled water","newspapers"
"14461","pork","beef","other vegetables","whole milk"
"14462","pickled vegetables","long life bakery product","specialty chocolate",""
"14463","coffee","soda","fruit/vegetable juice","waffles"
"14464","seasonal products","","",""
"14465","waffles","","",""
"14466","butter","","",""
"14467","sausage","coffee","shopping bags",""
"14468","other vegetables","dessert","sugar",""
"14469","house keeping products","","",""
"14470","liver loaf","root vegetables","salty snack","cake bar"
"14471","specialty chocolate","","",""
"14472","citrus fruit","root vegetables","whole milk","butter milk"
"14473","processed cheese","frozen vegetables","mustard","fruit/vegetable juice"
"14474","napkins","","",""
"14475","hamburger meat","root vegetables","whole milk","pastry"
"14476","sweet spreads","","",""
"14477","sausage","","",""
"14478","other vegetables","rolls/buns","fruit/vegetable juice","cooking chocolate"
"14479","citrus fruit","pip fruit","ice cream","bottled water"
"14480","sausage","brown bread","salty snack","chocolate"
"14481","other vegetables","rolls/buns","sauces","soda"
"14482","white wine","newspapers","",""
"14483","ham","butter","condensed milk",""
"14484","tropical fruit","rolls/buns","bottled water",""
"14485","napkins","candles","",""
"14486","whole milk","yogurt","chocolate",""
"14487","brown bread","","",""
"14488","sausage","domestic eggs","zwieback","fruit/vegetable juice"
"14489","newspapers","","",""
"14490","hamburger meat","pastry","",""
"14491","citrus fruit","whole milk","flour",""
"14492","beverages","","",""
"14493","frozen meals","","",""
"14494","beef","other vegetables","pastry",""
"14495","sausage","fruit/vegetable juice","",""
"14496","sausage","chicken","citrus fruit","pip fruit"
"14497","yogurt","condensed milk","frozen vegetables","domestic eggs"
"14498","rolls/buns","pastry","long life bakery product","waffles"
"14499","newspapers","","",""
"14500","hamburger meat","pip fruit","root vegetables","other vegetables"
"14501","grapes","","",""
"14502","meat","soda","",""
"14503","other vegetables","whole milk","white bread","soda"
"14504","pork","root vegetables","other vegetables","whole milk"
"14505","cream cheese ","oil","chocolate","napkins"
"14506","tropical fruit","yogurt","rolls/buns","candy"
"14507","shopping bags","","",""
"14508","pip fruit","frozen vegetables","bottled water",""
"14509","brown bread","oil","dishes",""
"14510","waffles","","",""
"14511","whole milk","","",""
"14512","whole milk","","",""
"14513","root vegetables","","",""
"14514","other vegetables","whipped/sour cream","rolls/buns",""
"14515","pork","beef","tropical fruit","other vegetables"
"14516","yogurt","frozen vegetables","",""
"14517","pet care","","",""
"14518","bottled water","","",""
"14519","yogurt","UHT-milk","brandy",""
"14520","UHT-milk","soda","",""
"14521","canned beer","","",""
"14522","bottled water","soda","misc. beverages","bottled beer"
"14523","citrus fruit","whole milk","pastry",""
"14524","UHT-milk","bottled water","",""
"14525","whole milk","domestic eggs","specialty chocolate",""
"14526","chicken","beef","tropical fruit","pip fruit"
"14527","root vegetables","other vegetables","whole milk","domestic eggs"
"14528","pastry","canned vegetables","pickled vegetables","coffee"
"14529","soda","canned beer","cookware",""
"14530","citrus fruit","bottled beer","white wine",""
"14531","pork","whole milk","cake bar",""
"14532","sausage","other vegetables","whole milk","hard cheese"
"14533","frozen meals","ice cream","brown bread","pastry"
"14534","salty snack","shopping bags","",""
"14535","citrus fruit","tropical fruit","pip fruit","rolls/buns"
"14536","soda","canned beer","",""
"14537","beef","other vegetables","pasta","Instant food products"
"14538","berries","other vegetables","yogurt","whipped/sour cream"
"14539","beverages","","",""
"14540","shopping bags","","",""
"14541","chicken","whole milk","white bread",""
"14542","napkins","dishes","",""
"14543","coffee","dish cleaner","",""
"14544","root vegetables","yogurt","whipped/sour cream","UHT-milk"
"14545","domestic eggs","rolls/buns","pickled vegetables","soda"
"14546","bottled beer","","",""
"14547","other vegetables","whole milk","yogurt","rolls/buns"
"14548","pastry","margarine","artif. sweetener","baking powder"
"14549","soda","candles","newspapers",""
"14550","canned beer","","",""
"14551","bottled beer","brandy","specialty chocolate","skin care"
"14552","bottled beer","brandy","specialty chocolate",""
"14553","hamburger meat","yogurt","margarine","sauces"
"14554","canned vegetables","soda","",""
"14555","frankfurter","pip fruit","other vegetables","whole milk"
"14556","butter","pastry","soda","long life bakery product"
"14557","root vegetables","other vegetables","butter","hard cheese"
"14558","margarine","mustard","pickled vegetables",""
"14559","soda","","",""
"14560","soap","dishes","",""
"14561","yogurt","soda","",""
"14562","soda","","",""
"14563","newspapers","","",""
"14564","whole milk","pastry","soda","specialty bar"
"14565","frankfurter","beef","citrus fruit","tropical fruit"
"14566","onions","other vegetables","whole milk","yogurt"
"14567","whipped/sour cream","fruit/vegetable juice","",""
"14568","frankfurter","yogurt","sliced cheese","mayonnaise"
"14569","salty snack","","",""
"14570","canned beer","","",""
"14571","sparkling wine","","",""
"14572","sausage","dessert","domestic eggs","rolls/buns"
"14573","soda","bottled beer","red/blush wine","salty snack"
"14574","napkins","","",""
"14575","detergent","flower (seeds)","",""
"14576","butter","bottled water","liquor","specialty bar"
"14577","dishes","shopping bags","",""
"14578","bottled beer","liquor","chewing gum",""
"14579","ham","whole milk","curd","napkins"
"14580","hygiene articles","","",""
"14581","tropical fruit","curd","newspapers",""
"14582","tropical fruit","other vegetables","butter","hard cheese"
"14583","domestic eggs","","",""
"14584","meat","other vegetables","",""
"14585","chicken","pip fruit","spices","white wine"
"14586","pet care","","",""
"14587","beverages","chocolate","",""
"14588","sausage","other vegetables","whole milk","rolls/buns"
"14589","soups","cake bar","shopping bags",""
"14590","yogurt","","",""
"14591","whole milk","newspapers","",""
"14592","oil","","",""
"14593","sausage","ham","pork","hamburger meat"
"14594","citrus fruit","whole milk","butter","yogurt"
"14595","whipped/sour cream","sliced cheese","hard cheese","cream cheese "
"14596","frozen meals","brown bread","",""
"14597","coffee","bottled beer","",""
"14598","liver loaf","whole milk","curd","frozen meals"
"14599","sausage","frozen fish","semi-finished bread","salty snack"
"14600","popcorn","napkins","",""
"14601","frankfurter","sausage","whole milk","rolls/buns"
"14602","oil","cocoa drinks","kitchen towels",""
"14603","whipped/sour cream","","",""
"14604","frozen vegetables","","",""
"14605","whipped/sour cream","","",""
"14606","frankfurter","light bulbs","",""
"14607","whole milk","butter","domestic eggs","bottled water"
"14608","salty snack","","",""
"14609","yogurt","frozen vegetables","",""
"14610","napkins","","",""
"14611","root vegetables","herbs","dessert","yogurt"
"14612","margarine","soda","",""
"14613","bottled water","","",""
"14614","other vegetables","UHT-milk","",""
"14615","bottled water","","",""
"14616","pip fruit","root vegetables","packaged fruit/vegetables","whole milk"
"14617","domestic eggs","flour","salt",""
"14618","napkins","","",""
"14619","tropical fruit","root vegetables","rolls/buns",""
"14620","yogurt","ice cream","soda","long life bakery product"
"14621","specialty chocolate","napkins","",""
"14622","sausage","dessert","UHT-milk","soda"
"14623","white wine","","",""
"14624","yogurt","UHT-milk","frozen vegetables","pastry"
"14625","potato products","soda","shopping bags",""
"14626","cream cheese ","","",""
"14627","pip fruit","","",""
"14628","pip fruit","whole milk","condensed milk","canned fish"
"14629","misc. beverages","fruit/vegetable juice","candy",""
"14630","hamburger meat","brown bread","semi-finished bread",""
"14631","sugar","","",""
"14632","sausage","other vegetables","cream cheese ","soda"
"14633","canned beer","white wine","specialty chocolate",""
"14634","sausage","ham","tropical fruit","pip fruit"
"14635","other vegetables","whole milk","curd","dessert"
"14636","condensed milk","white bread","fruit/vegetable juice",""
"14637","sausage","bottled water","canned beer","hygiene articles"
"14638","shopping bags","","",""
"14639","coffee","","",""
"14640","pip fruit","butter","beverages","sliced cheese"
"14641","ice cream","rolls/buns","bottled water",""
"14642","whole milk","soda","",""
"14643","onions","whole milk","coffee",""
"14644","ham","whole milk","semi-finished bread",""
"14645","soda","","",""
"14646","root vegetables","","",""
"14647","ham","other vegetables","whole milk","dessert"
"14648","yogurt","pasta","oil","canned fish"
"14649","coffee","soda","shopping bags",""
"14650","sausage","ham","other vegetables",""
"14651","semi-finished bread","","",""
"14652","other vegetables","whole milk","soda","specialty bar"
"14653","cream cheese ","white bread","Instant food products","fruit/vegetable juice"
"14654","dessert","yogurt","frozen vegetables","soda"
"14655","misc. beverages","white wine","prosecco","long life bakery product"
"14656","waffles","cleaner","toilet cleaner","dental care"
"14657","napkins","newspapers","",""
"14658","whole milk","","",""
"14659","frankfurter","whipped/sour cream","condensed milk","frozen vegetables"
"14660","salty snack","candy","",""
"14661","liquor (appetizer)","","",""
"14662","curd","specialty chocolate","",""
"14663","curd","yogurt","",""
"14664","other vegetables","butter milk","yogurt","fruit/vegetable juice"
"14665","pork","onions","other vegetables","salty snack"
"14666","flower (seeds)","","",""
"14667","frozen meals","","",""
"14668","soda","fruit/vegetable juice","chewing gum",""
"14669","sausage","whole milk","hard cheese","misc. beverages"
"14670","other vegetables","soda","specialty bar",""
"14671","pip fruit","root vegetables","other vegetables","whole milk"
"14672","yogurt","rolls/buns","",""
"14673","tropical fruit","whole milk","butter","cream cheese "
"14674","domestic eggs","fruit/vegetable juice","chocolate marshmallow",""
"14675","canned beer","","",""
"14676","root vegetables","herbs","whole milk",""
"14677","sausage","white wine","long life bakery product",""
"14678","bottled water","soda","fruit/vegetable juice",""
"14679","citrus fruit","tropical fruit","pip fruit","berries"
"14680","other vegetables","whipped/sour cream","soft cheese","brown bread"
"14681","zwieback","soups","specialty vegetables","coffee"
"14682","newspapers","shopping bags","",""
"14683","whole milk","","",""
"14684","pastry","margarine","specialty bar","candy"
"14685","pip fruit","whole milk","yogurt","whipped/sour cream"
"14686","cream cheese ","margarine","",""
"14687","pork","","",""
"14688","citrus fruit","root vegetables","whole milk","pastry"
"14689","cat food","soda","cake bar","hygiene articles"
"14690","curd","soda","",""
"14691","UHT-milk","soda","canned beer",""
"14692","rolls/buns","bottled water","liquor",""
"14693","whole milk","brown bread","",""
"14694","root vegetables","butter milk","specialty cheese","specialty bar"
"14695","white bread","pastry","roll products ","soda"
"14696","fruit/vegetable juice","long life bakery product","waffles","shopping bags"
"14697","nuts/prunes","whole milk","hard cheese","processed cheese"
"14698","newspapers","","",""
"14699","whole milk","cream cheese ","newspapers",""
"14700","soda","liquor","shopping bags",""
"14701","hygiene articles","shopping bags","",""
"14702","other vegetables","specialty cheese","bottled water","chocolate"
"14703","citrus fruit","grapes","whole milk","dessert"
"14704","yogurt","brown bread","pastry","soda"
"14705","newspapers","shopping bags","",""
"14706","sausage","root vegetables","other vegetables","butter"
"14707","domestic eggs","rolls/buns","",""
"14708","bottled beer","","",""
"14709","pork","other vegetables","curd",""
"14710","other vegetables","frozen meals","specialty chocolate",""
"14711","berries","root vegetables","hard cheese","spread cheese"
"14712","bottled water","soda","bottled beer","napkins"
"14713","citrus fruit","grapes","whole milk","pastry"
"14714","canned fruit","canned fish","chocolate","specialty bar"
"14715","hygiene articles","napkins","shopping bags",""
"14716","sausage","citrus fruit","tropical fruit","other vegetables"
"14717","tidbits","shopping bags","",""
"14718","citrus fruit","other vegetables","cream cheese ","salty snack"
"14719","waffles","chocolate","specialty bar","napkins"
"14720","root vegetables","other vegetables","frozen vegetables","canned vegetables"
"14721","coffee","","",""
"14722","bottled beer","","",""
"14723","coffee","","",""
"14724","citrus fruit","other vegetables","whole milk","butter"
"14725","dental care","","",""
"14726","tropical fruit","misc. beverages","",""
"14727","frankfurter","mayonnaise","semi-finished bread","canned beer"
"14728","sparkling wine","chewing gum","shopping bags",""
"14729","white wine","","",""
"14730","other vegetables","whole milk","brown bread","napkins"
"14731","sparkling wine","","",""
"14732","frankfurter","sausage","pip fruit","hard cheese"
"14733","bottled water","seasonal products","",""
"14734","whipped/sour cream","canned fish","",""
"14735","salty snack","","",""
"14736","whole milk","pastry","oil","popcorn"
"14737","snack products","detergent","shopping bags",""
"14738","sausage","other vegetables","brown bread","salt"
"14739","canned fish","shopping bags","",""
"14740","dessert","yogurt","soft cheese","soda"
"14741","citrus fruit","tropical fruit","pip fruit","root vegetables"
"14742","other vegetables","chocolate","candy","shopping bags"
"14743","pip fruit","beverages","bottled water","soda"
"14744","fruit/vegetable juice","cling film/bags","shopping bags",""
"14745","yogurt","artif. sweetener","fruit/vegetable juice","shopping bags"
"14746","butter","soda","fruit/vegetable juice","bottled beer"
"14747","tropical fruit","curd","bottled water","napkins"
"14748","root vegetables","onions","other vegetables","whole milk"
"14749","frozen vegetables","frozen meals","jam","instant coffee"
"14750","bottled water","misc. beverages","skin care","hygiene articles"
"14751","napkins","","",""
"14752","meat","whole milk","rolls/buns",""
"14753","salty snack","","",""
"14754","beef","","",""
"14755","fish","whole milk","",""
"14756","root vegetables","whole milk","white bread","soda"
"14757","waffles","specialty bar","hygiene articles",""
"14758","whole milk","","",""
"14759","coffee","bottled water","chocolate marshmallow",""
"14760","pastry","semi-finished bread","sugar",""
"14761","waffles","","",""
"14762","sausage","citrus fruit","nuts/prunes","white bread"
"14763","pastry","","",""
"14764","sausage","whole milk","",""
"14765","soda","","",""
"14766","sausage","citrus fruit","",""
"14767","pip fruit","canned beer","waffles",""
"14768","citrus fruit","pastry","",""
"14769","brown bread","","",""
"14770","soda","bottled beer","",""
"14771","rolls/buns","margarine","",""
"14772","citrus fruit","tropical fruit","pip fruit","onions"
"14773","other vegetables","beverages","processed cheese",""
"14774","butter","salt","margarine","sugar"
"14775","whole milk","cream cheese ","",""
"14776","fruit/vegetable juice","bottled beer","",""
"14777","flower (seeds)","","",""
"14778","chocolate","","",""
"14779","frozen fruits","","",""
"14780","beef","","",""
"14781","root vegetables","ice cream","",""
"14782","whole milk","rolls/buns","",""
"14783","sausage","chicken","onions","other vegetables"
"14784","packaged fruit/vegetables","butter","yogurt","beverages"
"14785","hard cheese","frozen vegetables","domestic eggs","white bread"
"14786","bottled water","soda","fruit/vegetable juice","bottled beer"
"14787","canned beer","sparkling wine","waffles","chocolate"
"14788","candy","cleaner","dental care",""
"14789","whole milk","tidbits","rolls/buns","bottled beer"
"14790","napkins","","",""
"14791","butter","butter milk","domestic eggs",""
"14792","citrus fruit","other vegetables","brown bread",""
"14793","meat","citrus fruit","tropical fruit","berries"
"14794","curd","whipped/sour cream","white bread","bottled water"
"14795","long life bakery product","chocolate marshmallow","candy","dish cleaner"
"14796","sausage","hamburger meat","canned beer","dishes"
"14797","UHT-milk","frozen meals","brown bread","fruit/vegetable juice"
"14798","shopping bags","","",""
"14799","tropical fruit","frozen vegetables","rolls/buns","semi-finished bread"
"14800","bottled beer","waffles","",""
"14801","bottled water","","",""
"14802","salty snack","","",""
"14803","frankfurter","ham","tropical fruit","pip fruit"
"14804","other vegetables","frozen vegetables","domestic eggs","zwieback"
"14805","margarine","soda","",""
"14806","tropical fruit","berries","yogurt","brown bread"
"14807","hygiene articles","","",""
"14808","tropical fruit","pip fruit","other vegetables","misc. beverages"
"14809","sausage","whole milk","dessert","pastry"
"14810","soda","","",""
"14811","frankfurter","pork","pip fruit","other vegetables"
"14812","hard cheese","frozen meals","frozen dessert","pastry"
"14813","semi-finished bread","sugar","soda","salty snack"
"14814","specialty chocolate","specialty bar","candy","seasonal products"
"14815","sausage","tropical fruit","yogurt","canned beer"
"14816","long life bakery product","","",""
"14817","rolls/buns","bottled beer","",""
"14818","hamburger meat","tropical fruit","herbs","other vegetables"
"14819","whole milk","curd","ice cream","Instant food products"
"14820","newspapers","shopping bags","",""
"14821","meat","","",""
"14822","hamburger meat","whole milk","cream cheese ","pastry"
"14823","misc. beverages","fruit/vegetable juice","white wine",""
"14824","ham","rolls/buns","",""
"14825","beef","yogurt","margarine",""
"14826","meat","","",""
"14827","tropical fruit","rolls/buns","salt","fruit/vegetable juice"
"14828","bottled beer","napkins","",""
"14829","whole milk","condensed milk","ice cream","coffee"
"14830","napkins","kitchen towels","shopping bags",""
"14831","frankfurter","nuts/prunes","frozen meals","rolls/buns"
"14832","chocolate","","",""
"14833","bottled water","soda","napkins",""
"14834","citrus fruit","pip fruit","berries","house keeping products"
"14835","other vegetables","oil","",""
"14836","dessert","soda","cake bar","shopping bags"
"14837","oil","ketchup","coffee",""
"14838","bottled water","","",""
"14839","root vegetables","other vegetables","butter","chocolate"
"14840","chicken","","",""
"14841","whole milk","whipped/sour cream","sweet spreads","waffles"
"14842","chewing gum","","",""
"14843","frozen vegetables","","",""
"14844","tropical fruit","yogurt","rolls/buns","pastry"
"14845","coffee","bottled water","newspapers",""
"14846","root vegetables","whole milk","frozen meals","domestic eggs"
"14847","white bread","white wine","",""
"14848","pork","","",""
"14849","cream cheese ","rolls/buns","fruit/vegetable juice",""
"14850","zwieback","","",""
"14851","chicken","","",""
"14852","bottled water","","",""
"14853","pork","curd","dessert","whipped/sour cream"
"14854","flour","bottled water","",""
"14855","sausage","tropical fruit","yogurt","frozen meals"
"14856","ice cream","brown bread","",""
"14857","whole milk","coffee","",""
"14858","nuts/prunes","yogurt","fruit/vegetable juice","specialty chocolate"
"14859","sausage","frozen vegetables","domestic eggs","bottled water"
"14860","bottled beer","","",""
"14861","brandy","","",""
"14862","chicken","frozen meals","margarine","soda"
"14863","spread cheese","rolls/buns","white bread","pet care"
"14864","fruit/vegetable juice","newspapers","",""
"14865","tropical fruit","frozen vegetables","",""
"14866","canned beer","","",""
"14867","chicken","root vegetables","whole milk","rice"
"14868","oil","","",""
"14869","yogurt","vinegar","",""
"14870","citrus fruit","whole milk","yogurt","spread cheese"
"14871","brown bread","bottled beer","white wine","long life bakery product"
"14872","flower (seeds)","","",""
"14873","waffles","candy","",""
"14874","chicken","cream cheese ","rice",""
"14875","chewing gum","","",""
"14876","whole milk","bottled water","bottled beer",""
"14877","bottled beer","","",""
"14878","rolls/buns","brown bread","",""
"14879","other vegetables","","",""
"14880","frankfurter","beef","tropical fruit","grapes"
"14881","onions","other vegetables","whole milk","whipped/sour cream"
"14882","cream cheese ","semi-finished bread","vinegar",""
"14883","finished products","chicken","root vegetables","whole milk"
"14884","butter milk","brown bread","fruit/vegetable juice",""
"14885","sausage","pip fruit","root vegetables","cream cheese "
"14886","specialty cheese","white bread","brown bread","salt"
"14887","margarine","canned fish","bottled water","soda"
"14888","waffles","shopping bags","",""
"14889","sausage","hamburger meat","other vegetables","rolls/buns"
"14890","pasta","Instant food products","shopping bags",""
"14891","rolls/buns","","",""
"14892","root vegetables","whole milk","spread cheese","rolls/buns"
"14893","coffee","newspapers","",""
"14894","whole milk","brown bread","sugar",""
"14895","whole milk","rolls/buns","",""
"14896","sausage","margarine","shopping bags",""
"14897","whole milk","yogurt","",""
"14898","pip fruit","","",""
"14899","soda","chewing gum","specialty bar",""
"14900","sausage","ham","beef","root vegetables"
"14901","UHT-milk","pet care","soda",""
"14902","frankfurter","canned fish","napkins","newspapers"
"14903","cat food","bottled water","hygiene articles",""
"14904","frankfurter","ham","tropical fruit","other vegetables"
"14905","whole milk","processed cheese","white bread","potato products"
"14906","fruit/vegetable juice","decalcifier","shopping bags",""
"14907","pork","root vegetables","",""
"14908","pork","root vegetables","processed cheese","curd cheese"
"14909","margarine","","",""
"14910","canned beer","shopping bags","",""
"14911","grapes","soft cheese","bottled water",""
"14912","pork","","",""
"14913","beef","hamburger meat","citrus fruit","tropical fruit"
"14914","root vegetables","onions","other vegetables","whole milk"
"14915","curd","whipped/sour cream","flour","pudding powder"
"14916","beef","grapes","herbs","other vegetables"
"14917","whole milk","curd","whipped/sour cream","frozen vegetables"
"14918","ice cream","oil","coffee","fruit/vegetable juice"
"14919","chewing gum","specialty chocolate","cleaner","kitchen towels"
"14920","sausage","meat","whole milk","cream cheese "
"14921","soda","cake bar","seasonal products",""
"14922","frankfurter","pork","UHT-milk","condensed milk"
"14923","tropical fruit","onions","white wine",""
"14924","frankfurter","herbs","",""
"14925","pastry","","",""
"14926","whole milk","","",""
"14927","ham","sliced cheese","white bread","canned vegetables"
